Time[s],UWB_Simple::Anchor1UwbTx::Index_1,UWB_Simple::Anchor1UwbTx::Dis_1,UWB_Simple::Anchor2UwbTx::Index_2,UWB_Simple::Anchor2UwbTx::Dis_2,UWB_Simple::Anchor3UwbTx::Index_3,UWB_Simple::Anchor3UwbTx::Dis_3,UWB_Simple::Anchor4UwbTx::Index_4,UWB_Simple::Anchor4UwbTx::Dis_4,UWB_Simple::Anchor5UwbTx::Index_5,UWB_Simple::Anchor5UwbTx::Dis_5,UWB_Simple::CarSts::Carsts_Y,UWB_Simple::CarSts::Carsts_X,UWB_Simple::CarSts::Carsts_TestSts,UWB_Simple::CarSts::Carsts_RobotTaskID,UWB_Simple::CarSts::Carsts_RobotInMotion,UWB_Simple::CarSts::Carsts_Robot_Z,UWB_Simple::CarSts::Carsts_Robot_Y,UWB_Simple::CarSts::Carsts_Robot_X,UWB_Simple::CarSts::Carsts_RealTi,UWB_Simple::CarSts::CarSts_CarTaskID,UWB_Simple::CarSts::Carsts_CarInMotion,UWB_Simple::CarSts::Carsts_Angle
3.137336,,,,,62808,136,,,,,,,,,,,,,,,,
3.143262,,,62808,411,,,,,,,,,,,,,,,,,,
3.220115,,,,,,,,,,,280,22,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.234415,,,62856,407,,,,,,,,,,,,,,,,,,
3.236035,,,,,,,,,62856,347,,,,,,,,,,,,
3.236488,,,,,,,62856,356,,,,,,,,,,,,,,
3.238724,62856,520,,,,,,,,,,,,,,,,,,,,
3.238835,,,,,62856,135,,,,,,,,,,,,,,,,
3.279117,,,,,,,,,,,343,27,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.284103,,,,,,,,,,,384,28,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.327652,,,62904,402,,,,,,,,,,,,,,,,,,
3.327765,,,,,,,62904,391,,,,,,,,,,,,,,
3.327875,,,,,,,,,62904,331,,,,,,,,,,,,
3.329195,62904,518,,,,,,,,,,,,,,,,,,,,
3.330672,,,,,62904,137,,,,,,,,,,,,,,,,
3.426794,,,62952,393,,,,,,,,,,,,,,,,,,
3.428021,,,,,,,,,62952,312,,,,,,,,,,,,
3.429245,,,,,,,62952,342,,,,,,,,,,,,,,
3.430720,62952,519,,,,,,,,,,,,,,,,,,,,
3.430831,,,,,62952,135,,,,,,,,,,,,,,,,
3.519673,,,,,,,,,63000,296,,,,,,,,,,,,
3.520085,,,,,,,63000,371,,,,,,,,,,,,,,
3.521235,,,63000,389,,,,,,,,,,,,,,,,,,
3.521876,63000,517,,,,,,,,,,,,,,,,,,,,
3.523192,,,,,63000,134,,,,,,,,,,,,,,,,
3.619235,,,63048,384,,,,,,,,,,,,,,,,,,
3.620460,,,,,,,,,63048,280,,,,,,,,,,,,
3.621682,,,,,,,63048,351,,,,,,,,,,,,,,
3.622901,63048,0,,,,,,,,,,,,,,,,,,,,
3.623349,,,,,63048,141,,,,,,,,,,,,,,,,
3.711701,,,,,,,,,63096,281,,,,,,,,,,,,
3.711812,,,63096,387,,,,,,,,,,,,,,,,,,
3.713242,,,,,,,63096,349,,,,,,,,,,,,,,
3.714462,63096,537,,,,,,,,,,,,,,,,,,,,
3.715980,,,,,63096,151,,,,,,,,,,,,,,,,
3.731136,,,,,,,,,,,447,32,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.779112,,,,,,,,,,,494,34,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.780578,,,,,,,,,,,547,37,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.781987,,,,,,,,,,,594,40,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.785117,,,,,,,,,,,650,42,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.807647,,,,,63144,150,,,,,,,,,,,,,,,,
3.811674,,,63144,380,,,,,,,,,,,,,,,,,,
3.812804,,,,,,,,,63144,294,,,,,,,,,,,,
3.814026,,,,,,,63144,369,,,,,,,,,,,,,,
3.815268,63144,545,,,,,,,,,,,,,,,,,,,,
3.858124,,,,,,,,,,,696,45,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.903833,,,63192,374,,,,,,,,,,,,,,,,,,
3.904842,,,,,,,,,63192,289,,,,,,,,,,,,
3.906418,63192,557,,,,,,,,,,,,,,,,,,,,
3.906534,,,,,,,63192,361,,,,,,,,,,,,,,
3.906822,,,,,63192,155,,,,,,,,,,,,,,,,
3.999637,63240,569,,,,,,,,,,,,,,,,,,,,
3.999748,,,,,63240,160,,,,,,,,,,,,,,,,
4.003900,,,63240,371,,,,,,,,,,,,,,,,,,
4.005131,,,,,,,,,63240,274,,,,,,,,,,,,
4.006355,,,,,,,63240,339,,,,,,,,,,,,,,
4.044141,,,,,,,,,,,751,48,0,0,0,560,-3,37,638682351700000000,-1,1,178000
4.058107,,,,,,,,,,,798,51,0,0,0,560,-3,37,638682351700000000,-1,1,178000
4.095749,,,,,,,,,63288,278,,,,,,,,,,,,
4.096451,,,63288,367,,,,,,,,,,,,,,,,,,
4.097601,,,,,,,63288,358,,,,,,,,,,,,,,
4.099341,,,,,63288,164,,,,,,,,,,,,,,,,
4.100604,63288,473,,,,,,,,,,,,,,,,,,,,
4.177181,,,,,,,,,,,849,54,0,0,0,560,-3,37,638682351700000000,-1,1,179000
