79.4,1033,591
79.6,1027,602
79.8,1023,610
80,1020,615
80.2,1009,636
80.4,1000,646
80.6,1000,646
80.8,1011,626
81,1024,612
81.2,1024,612
81.4,1024,619
81.6,1021,627
81.8,1020,629
82,1020,629
82.2,1024,622
82.4,1036,598
82.6,1045,575
82.8,1045,575
83,1044,568
83.2,1044,557
83.4,1047,505
83.6,1051,433
83.8,1051,433
84,1031,407
84.2,1004,391
84.4,991,383
84.6,972,383
84.8,944,394
85,920,428
85.2,905,428
85.4,891,398
85.6,874,376
85.8,851,376
86,818,388
86.2,790,417
86.4,771,435
86.6,740,435
86.8,720,421
87,709,415
87.2,688,409
87.4,669,406
87.6,651,394
87.8,632,379
88,610,365
88.2,591,351
88.4,565,341
88.6,538,318
88.8,526,313
89,504,313
89.2,467,289
89.4,435,273
89.6,418,258
89.8,401,246
90,384,233
90.2,356,225
90.4,324,223
90.6,303,220
90.8,282,216
91,271,212
91.2,266,212
91.4,251,209
91.6,235,209
91.8,227,211
92,216,208
92.2,205,210
92.4,203,205
92.6,201,203
92.8,201,201
93,205,201
93.2,212,197
93.4,216,197
93.6,217,207
93.8,218,207
94,218,217
94.2,221,219
94.4,229,220
94.6,231,221
94.8,231,222
95,230,222
95.2,223,221
95.4,220,216
95.6,220,215
95.8,223,216
96,224,215
96.2,224,215
96.4,219,215
96.6,214,216
96.8,212,219
97,214,219
97.2,212,222
97.4,214,223
97.6,216,223
97.8,216,223
98,217,223
98.2,216,224
98.4,217,226
98.6,216,225
98.8,215,225
99,215,225
99.2,214,225
99.4,214,222
99.6,212,211
99.8,212,205
100,203,204
100.2,197,206
100.4,197,206
100.6,197,206
100.8,197,206
101,197,206
101.2,197,206
101.4,73,243
101.6,73,224
101.8,125,257
102,138,257
102.2,138,257
102.4,134,264
102.6,132,283
102.8,143,296
103,143,297
103.2,144,297
103.4,145,297
103.6,141,297
103.8,144,298
104,144,301
104.2,144,302
104.4,144,303
104.6,143,303
104.8,145,303
105,144,303
105.2,144,302
105.4,144,302
105.6,125,301
105.8,109,305
106,107,309
106.2,107,309
106.4,107,309
106.6,88,259
106.8,63,205
107,57,202
107.2,57,202
107.4,57,202
107.6,58,202
107.8,59,202
108,83,245
108.2,134,285
108.4,174,285
108.6,189,281
108.8,198,262
109,198,262
109.2,198,262
109.4,200,191
109.6,194,185
109.8,192,185
110,192,184
110.2,192,184
110.4,192,184
110.6,192,184
110.8,192,184
111,200,214
111.2,200,203
111.4,200,203
111.6,200,203
111.8,200,203
112,200,203
112.2,200,203
112.4,212,217
112.6,212,230
112.8,211,231
113,211,233
113.2,209,236
113.4,206,236
113.6,204,236
113.8,204,235
114,204,235
114.2,205,235
114.4,210,235
114.6,214,234
114.8,214,234
115,213,234
115.2,212,222
115.4,209,209
115.6,210,207
115.8,208,207
116,208,207
116.2,208,207
116.4,208,204
116.6,207,201
116.8,207,201
117,207,202
117.2,207,206
117.4,207,206
117.6,208,204
117.8,209,202
118,211,202
